name,address,category
Lavi Beauty studio,"Улица Динмухамед Конаев, 14/2, Астана",Красота
Gul beauty salon,"Улица Айтеке би, 15, Астана",Красота
Salta,"Улица Жумекен Нажимеденов, 64, Астана",Красота
Hair day,"Проспект Ракымжан Кошкарбаев, 34, Астана",Красота
Nails time,"Улица Сарайшык, 34, Астана",Красота
Habibi,"Проспект Улы Дала, 69, Астана",Красота
Зере,"Улица Сакена Сейфуллина, 6, Астана",Красота
Storia,"Улица Толе би, 59, Астана",Красота
Zet Mart,"Улица Сауран, 14, Астана",Красота
sugastar.kz,"БЦ Moskva, улица Достык, 18, Астана",Красота
Chicago girls,"Улица Бердибек Сокпакбаев, 5, Астана",Красота
Айым,"Улица Шаймерден Косшыгулулы, 21, Астана",Красота
Satori,"Улица Шаймерден Косшыгулулы, 3/1, Астана",Красота
Aigerim_nurbekova_beauty,"Проспект Абылай хана, 19/3, Астана",Красота
LAMAS BEAUTY,"Проспект Туран, 43/1, Астана",Красота
My.Lashroom,"Проспект Туран, 46Б/2, Астана",Красота
NewMan,"Улица Абикен Бектуров, 17, Астана",Красота
Aina,"Улица Санжара Асфендиярова, 6, Астана",Красота
Maftuna_Nails_Astana,"Проспект Туран, 43/5, Астана",Красота
Ulzhanna,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
Dr. Rain_Beauty,"Переулок Талды-222, 9, Астана",Красота
Dalii,"Проспект Туран, 45/1, Астана",Красота
Dina.Isaevna,"Улица Аскар Токпанов, 20, Астана",Красота
Yellow cosmetology,"Проспект Мангилик Ел, 36, Астана",Красота
Zarina_lazer_astana,"Улица Алиби Жангельдин, 3, Астана",Красота
The Shelby,"Улица Толе би, 59, Астана",Красота
Pur Pur,"Проспект Бауыржан Момышулы, 13/1, Астана",Красота
Provisage,"Проспект Мангилик Ел, 24, Астана",Красота
Астанинские ноготочки,"Улица Кенесары, 6, Астана",Красота
NewYork,"Улица Каныш Сатпаев, 11, Астана",Красота
Astana_Sugaring,"Улица Каныш Сатпаев, 18, Астана",Красота
Айна,"Проспект Ракымжан Кошкарбаев, 37, Астана",Красота
Beauty room M,"Улица Сакена Сейфуллина, 4/1, Астана",Красота
BS beauty club,"Улица Евгения Брусиловского, 5, Астана",Красота
muni_beauty_studio,"Деловой дом Алма-Ата, Амангельды Иманова улица, 19, Астана",Красота
New Life,"Проспект Мангилик Ел, 51/2, Астана",Красота
Hair.astana,"Улица Сакена Сейфуллина, 4/2, Астана",Красота
Aykun,"Керей, Жанибек хандар улица, 12Б, Астана",Красота
Колорист,"Улица Сарайшык, 5/1, Астана",Красота
Culture,"Улица Кенесары, 4, Астана",Красота
Guriia,"Улица Касым Аманжолов, 28/1, Астана",Красота
Serenity wellness and spa,"Кабанбай батыр проспект, 13, Астана",Красота
Meta Aesthetic,"Radisson Hotel, проспект Сарыарка, 4, Астана",Красота
Ai.charm,"Улица Кайым Мухамедханов, 17/1, Астана",Красота
Nika,"Улица Габидена Мустафина, 13/1, Астана",Красота
Sen Suly,"Улица Куляш Байсеитовой, 10, Астана",Красота
Medina Beauty,"Улица Толе би, 44/2, Астана",Красота
Triumph Barbershop,"Аль-Фараби проспект, 17, Астана",Красота
Qyz Jibek,"Улица Абикен Бектуров, 3, Астана",Красота
La Vie beauty space,"Улица Акмешит, 1 блок 6, Астана",Красота
EL Clasico,"Улица Кенесары, 47а, Астана",Красота
