name,address,category
Magnum Express,"Улица Жанайдар Жирентаев, 6/1, Астана",Продукты
Magnum Express,"Улица Куйши Дина, 23/3, Астана",Продукты
Small,"Улица Кенесары, 4, Астана",Продукты
Small,"Улица Санжара Асфендиярова, 1, Астана",Продукты
Magnum Daily,"Улица Жанайдар Жирентаев, 20, Астана",Продукты
Magnum Daily,"Улица Желтоксан, 2т, Астана",Продукты
Small,"Улица Бухар жырау, 36п, Астана",Продукты
Magnum Express,"Улица Кенесары, 46, Астана",Продукты
Small,"Улица Сыганак, 39/1, Астана",Продукты
Magnum Daily,"Амангельды Иманова улица, 26, Астана",Продукты
Small,"ТРЦ Asia park, Кабанбай батыр проспект, 21, Астана",Продукты
galmart,"Улица Шамши Калдаяков, 6, Астана",Продукты
Magnum Daily,"Проспект Абая, 80, Астана",Продукты
Magnum Daily,"Улица Абикен Бектуров, 7, Астана",Продукты
Magnum Daily,"ЖК Олимп палас, улица Туркестан, 8, Астана",Продукты
Magnum Daily,"Кабанбай батыр проспект, 53 блок D6, Астана",Продукты
Гастроном,"Улица Сарайшык, 7а, Астана",Продукты
Magnum Daily,"Кабанбай батыр проспект, 43 блок B, Астана",Продукты
Small,"Улица Жумекен Нажимеденов, 34, Астана",Продукты
Московский,"Улица Григория Потанина, 2, Астана",Продукты
Magnum Daily,"Улица Акмешит, 9/2, Астана",Продукты
Вкус Март,"Проспект Мангилик Ел, 19, Астана",Продукты
Small,"Улица Илияс Омаров, 23, Астана",Продукты
Анвар,"Проспект Бауыржан Момышулы, 8, Астана",Продукты
Magnum Express,"Амангельды Иманова улица, 32, Астана",Продукты
Magnum Daily,"Проспект Республики, 9/1, Астана",Продукты
Magnum Express,"Улица Шамши Калдаяков, 2, Астана",Продукты
Small,"Улица Бейбитшилик, 30, Астана",Продукты
Small,"Улица Аманжол Болекпаев, 15п, Астана",Продукты
galmart,"ТРЦ Keruencity, шоссе Коргалжын, 1, Астана",Продукты
Small,"ТЦ Азия сити, проспект Абылай хана, 27/3, Астана",Продукты
Small,"Улица Хусейн бен Талал, 28, Астана",Продукты
Magnum Daily,"Улица Алексея Петрова, 13, Астана",Продукты
Magnum Daily,"Кабанбай батыр проспект, 40, Астана",Продукты
Small,"Проспект Ракымжан Кошкарбаев, 45а, Астана",Продукты
Magnum Daily,"Улица Бейбитшилик, 40/1, Астана",Продукты
Гастроном,"Проспект Туран, 50/2, Астана",Продукты
Small,"ТЦ Жаннур, проспект Абая, 48, Астана",Продукты
galmart,"ТЦ Abu Dhabi Plaza, улица Сыганак, 60/5, Астана",Продукты
Ayan,"ТЦ Жайлы, улица Каныш Сатпаев, 14, Астана",Продукты
Small,"Проспект Сарыарка, 15, Астана",Продукты
Fix price,"Улица Сагадат Нурмагамбетов, 31, Астана",Продукты
Magnum Express,"Улица Илияс Есенберлин, 2/1, Астана",Продукты
Вкус Март,"Проспект Абылай хана, 7, Астана",Продукты
Spar,"Улица Сагадат Нурмагамбетов, 21/1, Астана",Продукты
Fix price,"Улица Айтеке би, 3 Блок Б, Астана",Продукты
DN,"Кабанбай батыр проспект, 58Б к1, Астана",Продукты
Small,"БЦ Moskva, улица Достык, 18, Астана",Продукты
Magnum Express,"Улица Биржан сал, 7а, Астана",Продукты
Светофор,"Улица Жумекен Нажимеденов, 62, Астана",Продукты
Magnum Daily,"Проспект Богенбай батыр, 53, Астана",Продукты
Светофор,"Проспект Богенбай батыр, 73/1, Астана",Продукты
Spar,"Улица Шамши Калдаяков, 3, Астана",Продукты
Small,"Кабанбай батыр проспект, 38/2, Астана",Продукты
Small,"Улица Масаты, 24, Астана",Продукты
Magnum Express,"Жусупбек Аймауытова улица, 7, Астана",Продукты
Астана Мир Вкуса,"Проспект Сарыарка, 8, Астана",Продукты
Magnum Daily,"Таха Хусейна улица, 1, Астана",Продукты
galmart,"Улица Амман, 21, Астана",Продукты
Small,"Проспект Богенбай батыр, 26, Астана",Продукты
Small,"Аль-Фараби проспект, 13п, Астана",Продукты
Amarant,"Амангельды Иманова улица, 18Б, Астана",Продукты
Small,"Улица Ахмет Байтурсынулы, 12, Астана",Продукты
Fix price,"Улица Шолпан Иманбаевой, 2п, Астана",Продукты
Small,"Улица Темирбек Жургенов, 30а, Астана",Продукты
Small,"Улица Ахмет Байтурсынулы, 16, Астана",Продукты
Small,"Улица Шамши Калдаяков, 15/1, Астана",Продукты
Вкус Март,"Улица Кенесары, 80, Астана",Продукты
Вкус Март,"Проспект Тауелсиздик, 39, Астана",Продукты
Fix price,"Проспект Бауыржан Момышулы, 2в, Астана",Продукты
Fix price,"Улица Каныш Сатпаев, 22/1, Астана",Продукты
Fix price,"Улица Ахмет Байтурсынулы, 42/1, Астана",Продукты
Small,"Улица Сыганак, 1Б, Астана",Продукты
Small,"Улица Чингиз Айтматов, 77в, Астана",Продукты
ФерМаг,"Проспект Ракымжан Кошкарбаев, 56, Астана",Продукты
Spar,"Улица Ахмет Байтурсынулы, 29/2, Астана",Продукты
Fix price,"Проспект Ракымжан Кошкарбаев, 29/1, Астана",Продукты
Magnum Daily,"Улица Будапешт, 1, Астана",Продукты
Вкус Март,"ТРЦ Сарыарка, проспект Туран, 24, Астана",Продукты
Small,"Улица Абикен Бектуров, 9, Астана",Продукты
Арман,"Улица Жанкент, 128, Астана",Продукты
Small,"ТД Северный, улица Шаймерден Косшыгулулы, 9, Астана",Продукты
Астана Мир Вкуса,"Улица Кенесары, 37, Астана",Продукты
Тандау,"Проспект Туран, 34Б, Астана",Продукты
Fix price,"Проспект Абылай хана, 43, Астана",Продукты
Самал 3,"Микрорайон Самал, 3, Астана",Продукты
Fix price,"Проспект Сарыарка, 5, Астана",Продукты
В гостях у барабашки,"Проспект Мангилик Ел, 37, Астана",Продукты
Small,"Улица Роза Багланова, 6п, Астана",Продукты
Доброцен,"Шоссе Алаш, 20/1, Астана",Продукты
Fix price,"Улица Чингиз Айтматов, 36, Астана",Продукты
