name,address,category
Adler,"Переулок Жоламан, 9, Астана",Пожить
Берекет,"Улица Тарас Шевченко, 10, Астана",Пожить
Чубаро,"Улица Алпамыс батыр, 3а, Астана",Пожить
Urban,"Улица Сыганак, 64/1, Астана",Пожить
Rose Art,"Улица Сыганак, 64/1, Астана",Пожить
Comfort Hotel Astana,"Улица Космонавтов, 60, Астана",Пожить
Ак кайын,"Улица Алихан Бокейхан, 5, Астана",Пожить
Дипломат,"Улица Динмухамед Конаев, 29/1, Астана",Пожить
TÖR`RE Astana by Wyndham,"Улица Туркестан, 16, Астана",Пожить
Radisson Hotel Astana,"Проспект Сарыарка, 4, Астана",Пожить
Hilton Astana,"Улица Гейдара Алиева, 14, Астана",Пожить
Rixos President Astana,"Улица Динмухамед Конаев, 7, Астана",Пожить
The St. Regis Astana,"Кабанбай батыр проспект, 1, Астана",Пожить
Sheraton Astana Hotel,"Улица Сыганак, 60/1, Астана",Пожить
Кулагер,"Улица Жагажай, 59, Астана",Пожить
The Ritz-Carlton Astana,"Улица Достык, 16, Астана",Пожить
Думан,"Шоссе Коргалжын, 2а, Астана",Пожить
Hilton Garden Inn Astana,"Кабанбай батыр проспект, 15, Астана",Пожить
ibis,"Проспект Тауелсиздик, 38, Астана",Пожить
Holiday Inn Express Astana Turan,"Проспект Туран, 44, Астана",Пожить
Red Village,"Улица Габидена Мустафина, 1/1, Астана",Пожить
King Hotel Astana,"Улица Шокан Уалиханов, 7, Астана",Пожить
Park Inn by Radisson,"Проспект Сарыарка, 8а, Астана",Пожить
Ясы,"Улица Ушкултай Субханбердина, 36, Астана",Пожить
Merdan Hall,"Проспект Бауыржан Момышулы, 31а, Астана",Пожить
Hampton by Hilton Astana Triumphal Arch,"Проспект Мангилик Ел, 43а, Астана",Пожить
Wyndham Garden Burabay,Астана,Пожить
Kazzhol Astana,"Улица Балкантау, 213, Астана",Пожить
Jumbaktas,"Улица Карасакал Еримбет, 65, Астана",Пожить
Inn OZZ Astana,"Проспект Бауыржан Момышулы, 12д, Астана",Пожить
Alanda,"Проспект Тауелсиздик, 33, Астана",Пожить
Отель ТЕНГРИ,"Улица Беимбет Майлин, 1а, Астана",Пожить
Yes Botanical Apartments,"Улица Туркестан, 16, Астана",Пожить
The Veil Taste & Relax,"Улица Кадыргали Жалайыри, 4, Астана",Пожить
Altyn Eco Park,"Керей, Жанибек хандар улица, 22, Астана",Пожить
Сункар,"Альмукан Сембинов улица, 15, Астана",Пожить
The One Hotel Astana,"Улица Кадыргали Жалайыри, 8, Астана",Пожить
The One Hotel Astana,"Улица Кадыргали Жалайыри, 8, Астана",Пожить
Аққу,"Улица Бухарбай батыр, 22, Астана",Пожить
Султан Бейбарыс,"Проспект Абылай хана, 16, Астана",Пожить
Турист,"Проспект Республики, 33, Астана",Пожить
Monte Bianco Hotel Astana,"Улица Е 126, 8, Астана",Пожить
Neos Hotel,"Кабанбай батыр проспект, 45/1, Астана",Пожить
Азамат,"Проспект Шакарим Кудайбердыулы, 7, Астана",Пожить
Жасыбай,"Улица Шокан Уалиханов, 26, Астана",Пожить
Premier inn,"Улица Балкантау, 187, Астана",Пожить
Goldman Empire,"Улица Каныш Сатпаев, 13/1, Астана",Пожить
Алатау,"Улица Ыргыз, 27, Астана",Пожить
Арлан,"Улица Мугалжар, 80, Астана",Пожить
BalQaragai,"Улица Астана-Малотимофеевка, 2, Астана, Целиноградский район",Пожить
Ainacol,"Улица Айнакол, 42, Астана",Пожить
Кокшетау,"Улица Кажымукан, 18/1, Астана",Пожить
Зейд,"Улица Агыбай батыра, 101, Астана",Пожить
Monaco,"Улица Шарль де Голль, 1, Астана",Пожить
Гостевой дом,"Переулок Кокорай, 10, Астана",Пожить
Тарлан,"Тупик Толстого, 5, Астана",Пожить
Дастан,"Проспект Шакарим Кудайбердыулы, 38а, Астана",Пожить
Торгай,"Улица Каныш Сатпаев, 15, Астана",Пожить
Dacha,"Улица Аккемер, 32/2, Астана",Пожить
МирОтель,"Переулок Аркат, 1, Астана",Пожить
