name,address
Prime Kitchen,"Аль-Фараби проспект, 40/2, Астана"
Leprechaun,"Кабанбай батыр проспект, 119, Астана"
Honey fusion cafe,"Проспект Улы Дала, 56, Астана"
Demal,"Улица Сексек Ата, 19, Астана"
Sitora,"Улица Мухамет-Салык Бабажанов, 95а, Астана"
Дача,"Улица Илияс Омаров, 23, Астана"
Papa Pane,"Кабанбай батыр проспект, 119, Астана"
Aq Anyz,"Улица Республики, 1Б, Косшы, Косшы городская администрация, Акмолинская область"
AURA Verdant,"Улица Астана-Малотимофеевка, 2, Астана, Целиноградский район"
Айгерим,"Улица Жалмагамбета Калиева, 22, Косшы, Косшы городская администрация, Акмолинская область"
Alan,"Улица Курманова, 8/1, с. Жибек Жолы, Аршалынский район, Акмолинская область"
Qumyra,"Улица Республики, 174, Косшы, Косшы городская администрация, Акмолинская область"
Асия,"191-я улица, 11, Астана"
Ailin,"Улица Орталык, 25, с. Кызылжар, Целиноградский район, Акмолинская область"
Жамал,С. Кабанбай батыра
